predictor,coef,SE,OR,CI_lower,CI_upper,z,p_value,sig,direction,min_nonref_n,epp_warning,MEM,MEM_pct_pts,type,confirmed_via_LRT
"utility_arrears__Yes, twice or more",1.4144,0.3969,4.1139,1.8896,8.9565,3.5631,0.0004,***,increases,24,False,0.2886,28.86,binary,True
ethnic_minority__Yes,1.1108,0.3209,3.0368,1.6189,5.6964,3.4611,0.0005,***,increases,37,False,0.213,21.3,binary,True
political_group__Yes,-1.0111,0.3666,0.3638,0.1774,0.7463,-2.7582,0.0058,**,decreases,26,False,-0.1134,-11.34,binary,True
"utility_arrears__Yes, once",0.9571,0.3603,2.6042,1.2853,5.2767,2.6566,0.0079,**,increases,28,False,0.1804,18.04,binary,True
gender__Woman or Non-binary,0.7538,0.1814,2.1251,1.4892,3.0325,4.1554,0.0,***,increases,199,False,0.114,11.4,binary,True
