predictor,coef,SE,OR,CI_lower,CI_upper,z,p_value,sig,direction,min_nonref_n,epp_warning,MEM,MEM_pct_pts,type,confirmed_via_LRT
heat_fuel_wood,-3.4074,1.1019,0.0331,0.0038,0.2872,-3.0922,0.002,**,decreases,6.0,True,-0.195,-19.5,binary,True
home_problems_count,-0.1767,0.082,0.838,0.7136,0.9842,-2.1536,0.0313,*,decreases,,False,-0.0258,-2.58,continuous/ordinal,True
