predictor,coef,SE,OR,CI_lower,CI_upper,z,p_value,sig,direction,min_nonref_n,epp_warning,MEM,MEM_pct_pts,type,confirmed_via_LRT
political_group__Yes,-1.2572,0.3822,0.2845,0.1345,0.6017,-3.2892,0.001,**,decreases,26.0,False,-0.139,-13.9,binary,True
macro_electricity_consumption,0.1161,0.065,1.1231,0.9888,1.2757,1.7861,0.0741,,increases,,False,0.0189,1.89,continuous/ordinal,True
