predictor,coef,SE,OR,CI_lower,CI_upper,z,p_value,sig,direction,min_nonref_n,epp_warning,MEM,MEM_pct_pts,type,confirmed_via_LRT
ethnic_minority__Prefer not to say,1.7158,0.5367,5.5611,1.9424,15.9218,3.197,0.0014,**,increases,13,False,0.3682,36.82,binary,True
can_cover_solar_cost__Not sure,0.7609,0.2793,2.1401,1.2379,3.6999,2.7242,0.0064,**,increases,55,False,0.1334,13.34,binary,True
