country,region,hazard_elec_bill,hazard_heat_cool,hazard_bill_struggle,hazard_house_value,hazard_miss_savings,hazard_tax_fines,hazard_power_cuts,hazard_insurance_cost,hazard_rent_ban,hazard_damp_mould,hazard_insurer_risk,hazard_severe_weather,hazard_cold_damp_health,composite_score,composite_level,gender,education,activity_status,household_size,location,ethnic_minority,disability,lgbtiqa,political_group,english_proficiency,digital_confidence,citizenship,ber_rating,hh_lives_alone,hh_has_partner,hh_children_under_25,hh_children_25_plus,hh_parent_grandparent,hh_disabled_member,hh_other_relatives,hh_non_relatives,heat_fuel_oil_paraffin,heat_fuel_electricity,heat_fuel_piped_natural,heat_fuel_bottle_gas,heat_fuel_lpg,heat_fuel_coal,heat_fuel_wood,heat_fuel_pellets,heat_fuel_district,heat_fuel_solar,heat_fuel_heat_pump,heat_fuel_other,housing_situation,home_type,dwelling_year,rent_arrears,utility_arrears,housing_support,energy_support,energy_improvements,plans_energy_improvements,solar_perception,solar_install_likelihood,can_cover_solar_cost,aware_gov_programmes,issue_poor_insulation,issue_damp_mold,issue_inadequate_heating,issue_high_energy_bills,issue_limited_light,issue_leaking_roof,issue_rotten_frames,home_problems_count,macro_dwelling_too_dark,macro_asthma_death_rate,macro_leak_damp_rot,macro_excess_winter_mortality,macro_cold_home_pct,macro_cost_overburden_rate,macro_heating_degree_days,macro_cooling_degree_days,macro_severe_housing_deprivation,religious_minority,bill_confidence,is_native_born,speaks_national_language,age,age_group,housing_cost_band,income_band,household_type
Germany,Brandenburg,8.0,4.0,1.0,9.0,4.0,1.0,1.0,9.0,4.0,9.0,4.0,4.0,4.0,4.769230769230769,1,Woman or Non-binary,Primary or Secondary education,"In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",3.0,Rural,Prefer not to say,No,Yes or PNS,No,Well or less proficient,Very confident — I can do these tasks easily on my own,Citizen of this country,I don't know,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,"I live here without paying rent (for example, staying with relatives of friends)",Detached house – a house that stands alone and is not joined to any other,1981-2000,No,No,No,No,Yes,Not applicable,5,Not applicable,Not sure,Not applicable,1,0,0,0,0,0,0,1,7.1,1113.34,16.0,5.5,5.7,11.2,1875.22,14.89,0.3,No/Non-religious,Confident — I can understand it with some help,Yes,Yes,20.0,18-29,3_High,7,Multi-generational / extended
Portugal,Norte,16.0,16.0,4.0,6.0,3.0,9.0,16.0,16.0,4.0,9.0,4.0,4.0,16.0,9.461538461538462,3,Man,Primary or Secondary education,Unemployed (actively seeking work or available to start work),1.0,Rural,Yes,Prefer not to say,No,No,Mother tongue / Very well,Confident or less confident,Citizen of this country,I don't know,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,I rent the house where I live in (I pay rent every month),"Apartment or flat with less than 10 dwellings – a home in a building with other homes above, below or next to yours",I don't know,No,No,Yes,No,No,No,4,Unlikely,No,Not sure,1,1,1,0,0,1,0,4,8.1,914.3,29.0,10.0,15.6,6.3,1038.89,227.41,4.2,No/Non-religious,Confident — I can understand it with some help,No,No,64.0,45+,1_Low,1,Lives alone
Germany,Cologne,20.0,20.0,15.0,8.0,15.0,8.0,4.0,15.0,8.0,15.0,12.0,9.0,15.0,12.615384615384615,5,Man,Further education or training after school (not university),"In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",5.0,Rural,No,No,No,No,Well or less proficient,Very confident — I can do these tasks easily on my own,Citizen of this country,E-G (poor efficiency),0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,I own the house or flat where I live and I am paying if with a mortgage,Detached house – a house that stands alone and is not joined to any other,2001-2010,No,No,No,No,No,Yes,4,Not applicable,Yes,Not applicable,0,0,0,0,0,0,0,0,7.1,1045.22,16.0,5.5,5.7,11.2,1919.09,19.17,0.3,No/Non-religious,Confident — I can understand it with some help,Yes,Yes,38.0,30-44,3_High,6,Single parent
Portugal,Lisbon Metropolitan Area,12.0,12.0,12.0,8.0,15.0,6.0,9.0,8.0,4.0,10.0,10.0,20.0,12.0,10.615384615384615,4,Man,Primary or Secondary education,"Attending school, university, or other educational/training programmes",4.0,Urban,No,No,Yes or PNS,Yes,Well or less proficient,Confident or less confident,Citizen of this country,I don't know,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,I rent the house where I live in (I pay rent every month),"Apartment or flat with less than 10 dwellings – a home in a building with other homes above, below or next to yours",1961-1980,No,No,No,No,No,I don't know,3,Likely,Yes,Not sure,0,0,0,1,0,0,0,1,8.1,1000.31,29.0,10.0,15.6,6.3,446.16,91.69,4.2,No/Non-religious,Another person is in charge of reading and/or paying the energy bill.,Yes,Yes,30.0,30-44,1_Low,2,Other shared
Ireland,Northern and Western,20.0,20.0,4.0,16.0,4.0,16.0,16.0,25.0,16.0,4.0,4.0,16.0,4.0,12.692307692307692,5,Man,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",2.0,Urban,Prefer not to say,No,No,No,Mother tongue / Very well,Very confident — I can do these tasks easily on my own,Non-EU citizen,I don't know,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,I rent the house where I live in (I pay rent every month),"Apartment or flat with more than 10 dwellings – a home in a building with other homes above, below or next to yours",2011-2015,No,No,No,No,No,No,3,Likely,Not sure,Not sure,0,0,0,1,0,0,0,1,6.9,885.49,21.2,2.8,4.5,5.3,1818.53,0.0,0.2,No/Non-religious,Very confident — I can understand it easily,No,No,31.0,30-44,3_High,9,Other shared
Portugal,Lisbon Metropolitan Area,15.0,15.0,1.0,9.0,15.0,4.0,6.0,6.0,2.0,8.0,2.0,1.0,1.0,6.538461538461538,2,Man,Further education or training after school (not university),"In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",4.0,Suburban,No,No,No,No,Well or less proficient,Very confident — I can do these tasks easily on my own,Citizen of this country,I don't know,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,I own the house or flat where I live and I do not pay a mortgage,"Apartment or flat with more than 10 dwellings – a home in a building with other homes above, below or next to yours",2001-2010,No,No,No,No,No,Yes,5,Not applicable,Yes,Not applicable,1,1,1,0,0,0,0,3,8.1,1000.31,29.0,10.0,15.6,6.3,446.16,91.69,4.2,No/Non-religious,Confident — I can understand it with some help,Yes,No,35.0,30-44,1_Low,7,Multi-generational / extended
Germany,Detmold,3.0,4.0,4.0,3.0,6.0,4.0,9.0,16.0,12.0,9.0,4.0,12.0,5.0,7.0,2,Woman or Non-binary,Further education or training after school (not university),"In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",2.0,Suburban,No,No,No,No,Well or less proficient,Confident or less confident,Citizen of this country,A-B (high efficiency),0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,I rent the house where I live in (I pay rent every month),"Apartment or flat with less than 10 dwellings – a home in a building with other homes above, below or next to yours",2022 or after,No,No,No,No,No,No,4,Very likely,Yes,Not sure,0,0,0,0,1,0,0,1,7.1,1000.51,16.0,5.5,5.7,11.2,1802.79,18.7,0.3,No/Non-religious,Not very confident or worse,Yes,No,27.0,18-29,2_Medium,9,"Couple, no children"
Portugal,Lisbon Metropolitan Area,9.0,8.0,8.0,9.0,6.0,9.0,6.0,12.0,12.0,12.0,9.0,9.0,9.0,9.076923076923077,3,Man,Primary or Secondary education,Unemployed (actively seeking work or available to start work),3.0,Suburban,Prefer not to say,No,No,No,Well or less proficient,Very confident — I can do these tasks easily on my own,Citizen of this country,I don't know,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,I own the house or flat where I live and I do not pay a mortgage,"Apartment or flat with less than 10 dwellings – a home in a building with other homes above, below or next to yours",1961-1980,No,No,No,No,No,I don't know,3,Likely,No,No,0,1,0,1,0,0,0,2,8.1,1000.31,29.0,10.0,15.6,6.3,446.16,91.69,4.2,No/Non-religious,Not very confident or worse,Yes,No,52.0,45+,1_Low,2,Couple with children
Portugal,Norte,9.0,4.0,1.0,1.0,9.0,9.0,25.0,25.0,16.0,12.0,12.0,12.0,12.0,11.307692307692308,4,Man,Further education or training after school (not university),"In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",1.0,Suburban,No,No,No,No,Well or less proficient,Very confident — I can do these tasks easily on my own,Citizen of this country,I don't know,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,"I live here without paying rent (for example, staying with relatives of friends)","Apartment or flat with less than 10 dwellings – a home in a building with other homes above, below or next to yours",1981-2000,No,No,No,No,No,Yes,5,Not applicable,Yes,Not applicable,0,1,0,1,0,0,0,2,8.1,914.3,29.0,10.0,15.6,6.3,1038.89,227.41,4.2,No/Non-religious,Confident — I can understand it with some help,Yes,Yes,32.0,30-44,1_Low,3,Multi-generational / extended
Ireland,Eastern and Midland,12.0,12.0,20.0,16.0,9.0,20.0,20.0,12.0,15.0,15.0,15.0,20.0,15.0,15.461538461538462,5,Man,Primary or Secondary education,"In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",4.0,Urban,Prefer not to say,No,No,No,Mother tongue / Very well,Very confident — I can do these tasks easily on my own,Non-EU citizen,I don't know,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,I rent the house where I live in (I pay rent every month),"Apartment or flat with more than 10 dwellings – a home in a building with other homes above, below or next to yours",I don't know,No,No,No,No,I don't know,I don't know,4,Likely,Not sure,Not sure,0,1,0,0,0,1,0,2,6.9,907.0,21.2,2.8,4.5,5.3,1820.78,0.0,0.2,No/Non-religious,Confident — I can understand it with some help,No,Yes,20.0,18-29,3_High,5,"Couple, no children"
