country,region,hazard_elec_bill,hazard_heat_cool,hazard_bill_struggle,hazard_house_value,hazard_miss_savings,hazard_tax_fines,hazard_power_cuts,composite_score,composite_level,gender,education,activity_status,household_size,location,ethnic_minority,disability,lgbtiqa,political_group,english_proficiency,digital_confidence,citizenship,hh_lives_alone,hh_has_partner,hh_children_under_25,hh_children_25_plus,hh_parent_grandparent,hh_disabled_member,hh_other_relatives,hh_non_relatives,housing_situation,home_type,dwelling_year,rent_arrears,utility_arrears,housing_support,energy_support,energy_improvements,plans_energy_improvements,solar_perception,solar_install_likelihood,can_cover_solar_cost,aware_gov_programmes,issue_poor_insulation,issue_damp_mold,issue_inadequate_heating,issue_high_energy_bills,issue_limited_light,issue_leaking_roof,issue_rotten_frames,home_problems_count,macro_utility_arrears_pct,macro_cold_home_pct,macro_cost_overburden_rate,macro_consumption_expenditure,macro_disposable_income_pps,macro_heating_degree_days,macro_cooling_degree_days,macro_energy_consumption_tj,macro_electricity_consumption,religious_minority,bill_confidence,is_native_born,speaks_national_language,age,age_group,housing_cost_band,income_band,household_type
Germany,Detmold,20,20,12,20,25,16,9,17.428571428571427,5,Man,Further education or training after school (not university),"In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",2,Urban,No,No,No,No,Well,Confident or less confident,Citizen of this country,0,1,0,0,0,0,0,0,I rent the house where I live in (I pay rent every month),"Apartment or flat with less than 10 dwellings – a home in a building with other homes above, below or next to yours",2022 or after,No,No,No,No,Yes,Not applicable,5.0,Not applicable,Yes,Not applicable,0,0,0,0,0,0,0,0,4.6,5.7,11.2,1876818.0,69834.63,1802.79,18.7,2215295.198,6.9347,No/Non-religious,Very confident — I can understand it easily,Yes,Yes,30.0,30-44,3_High,9,"Couple, no children"
Germany,Karlsruhe,12,20,16,16,6,6,12,12.571428571428571,4,Woman or Non-binary,"University degree or higher (e.g. Bachelor's, Master's, PhD)",Unemployed (actively seeking work or available to start work),2,Urban,No,No,No,No,Not very well or worse,Confident or less confident,Non-EU citizen,0,1,0,0,0,0,0,0,I rent the house where I live in (I pay rent every month),Detached house – a house that stands alone and is not joined to any other,I don't know,"Yes, once",No,No,No,Yes,Not applicable,4.0,Not applicable,No,Not applicable,0,1,1,1,1,0,1,5,4.6,5.7,11.2,1876818.0,106148.97,1828.77,45.16,2215295.198,6.9347,No/Non-religious,Confident — I can understand it with some help,No,No,34.0,30-44,3_High,3,"Couple, no children"
Italy,Lazio,15,15,1,2,5,1,1,5.714285714285714,1,Man,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",2,Urban,No,No,Yes,No,Mother tongue / Very well,Very confident — I can do these tasks easily on my own,Citizen of this country,0,1,0,0,0,0,0,0,I own the house or flat where I live and I do not pay a mortgage,"Apartment or flat with more than 10 dwellings – a home in a building with other homes above, below or next to yours",1981-2000,No,No,No,No,No,No,5.0,Very unlikely,Yes,Yes,0,0,0,1,0,0,0,1,5.9,8.6,5.0,1257106.0,150307.6,798.71,361.74,1155020.242,8.7008,No/Non-religious,Confident — I can understand it with some help,Yes,Yes,35.0,30-44,1_Low,3,"Couple, no children"
Italy,Emilia-Romagna,16,16,12,25,16,9,4,14.0,4,Woman or Non-binary,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",4,Suburban,No,No,No,No,Mother tongue / Very well,Confident or less confident,Citizen of this country,0,1,1,0,0,0,0,0,I own the house or flat where I live and I am paying it with a mortgage,Terraced house – a house that is part of a row of houses joined together,2016-2021,No,No,No,No,No,Yes,5.0,Not applicable,Yes,Not applicable,0,1,0,0,0,0,0,1,5.9,8.6,5.0,1257106.0,131258.7,1166.93,256.8,1155020.242,8.7008,No/Non-religious,Not very confident — I often need help or support,Yes,Yes,44.0,30-44,2_Medium,7,Couple with children
Italy,Emilia-Romagna,6,6,9,4,12,6,9,7.428571428571429,2,Man,Primary or Secondary education,"Attending school, university, or other educational/training programmes",4,Suburban,No,No,No,No,Well,Confident or less confident,Non-EU citizen,0,0,1,0,1,0,0,0,I rent the house where I live in (I pay rent every month),"Apartment or flat with less than 10 dwellings – a home in a building with other homes above, below or next to yours",1961-1980,No,No,Yes,No,I don't know,Yes,4.0,Not applicable,Not sure,Not applicable,1,0,0,0,0,0,0,1,5.9,8.6,5.0,1257106.0,131258.7,1166.93,256.8,1155020.242,8.7008,No/Non-religious,Confident — I can understand it with some help,No,No,27.0,18-29,2_Medium,3,Single parent
Spain,Catalonia,3,5,5,4,5,5,5,4.571428571428571,1,Man,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",3,Urban,Yes,No,No,Yes,Well,Very confident — I can do these tasks easily on my own,Citizen of this country,1,0,1,0,0,0,0,0,I own the house or flat where I live and I am paying it with a mortgage,"Apartment or flat with less than 10 dwellings – a home in a building with other homes above, below or next to yours",2001-2010,No,No,No,No,Yes,Not applicable,5.0,Not applicable,Yes,Not applicable,0,0,0,1,0,0,0,1,9.2,15.9,7.2,793600.0,186166.0,1078.88,341.51,580422.275,5.6424,No/Non-religious,Very confident — I can understand it easily,Yes,No,46.0,45-59,2_Medium,6,Lives alone
Italy,Apulia,12,12,4,6,4,4,1,6.142857142857143,1,Man,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",2,Suburban,No,No,No,No,Well,Very confident — I can do these tasks easily on my own,Citizen of this country,0,1,0,0,0,0,0,0,I own the house or flat where I live and I am paying it with a mortgage,"Apartment or flat with less than 10 dwellings – a home in a building with other homes above, below or next to yours",1981-2000,No,No,No,No,No,Yes,3.0,Not applicable,Yes,Not applicable,1,1,0,0,0,0,0,2,5.9,8.6,5.0,1257106.0,65418.9,640.14,517.28,1155020.242,8.7008,No/Non-religious,Confident — I can understand it with some help,Yes,Yes,44.0,30-44,2_Medium,4,"Couple, no children"
Germany,Rheinhessen-Palatinate,5,5,5,3,8,9,8,6.142857142857143,1,Man,Further education or training after school (not university),"In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",3,Suburban,No,No,No,No,Not very well or worse,Very confident — I can do these tasks easily on my own,Citizen of this country,0,1,1,0,0,0,0,0,I rent the house where I live in (I pay rent every month),Semi-detached house – a house joined to one other house,1981-2000,No,No,No,No,No,Yes,4.0,Not applicable,Not sure,Not applicable,0,0,0,1,0,0,0,1,4.6,5.7,11.2,1876818.0,2903658.0,1919.09,19.17,2215295.198,6.9347,No/Non-religious,Confident — I can understand it with some help,Yes,No,39.0,30-44,3_High,5,Couple with children
Germany,Hannover,2,1,1,1,2,1,1,1.2857142857142858,1,Man,"University degree or higher (e.g. Bachelor's, Master's, PhD)",Retired,1,Rural,No,Yes,No,No,Mother tongue / Very well,Very confident — I can do these tasks easily on my own,Citizen of this country,1,0,0,0,0,0,0,0,I own the house or flat where I live and I am paying it with a mortgage,"Apartment or flat with more than 10 dwellings – a home in a building with other homes above, below or next to yours",1961-1980,No,No,No,No,No,I don't know,3.0,Unlikely,Yes,Yes,0,0,0,0,0,0,0,0,4.6,5.7,11.2,1876818.0,71168.44,1758.37,19.02,2215295.198,6.9347,No/Non-religious,Very confident — I can understand it easily,Yes,No,61.0,60+,2_Medium,4,Lives alone
Spain,Catalonia,16,9,8,25,9,8,5,11.428571428571429,3,Man,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",4,Urban,No,No,No,No,Mother tongue / Very well,Very confident — I can do these tasks easily on my own,Citizen of this country,0,0,1,0,0,0,0,0,I own the house or flat where I live and I am paying it with a mortgage,"Apartment or flat with less than 10 dwellings – a home in a building with other homes above, below or next to yours",1981-2000,No,No,No,No,I don't know,Yes,4.0,Not applicable,Yes,Not applicable,0,0,0,0,0,0,0,0,9.2,15.9,7.2,793600.0,186166.0,1078.88,341.51,580422.275,5.6424,No/Non-religious,Very confident — I can understand it easily,Yes,Yes,39.0,30-44,3_High,7,Single parent
Italy,Molise,15,20,20,6,16,12,15,14.857142857142858,5,Woman or Non-binary,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",1,Rural,No,No,Yes,No,Mother tongue / Very well,Very confident — I can do these tasks easily on my own,Citizen of this country,1,0,0,0,0,0,0,0,I own the house or flat where I live and I do not pay a mortgage,Semi-detached house – a house joined to one other house,1945-1960,No,No,No,No,No,I don't know,5.0,Somewhat likely,Yes,No,1,0,1,0,1,0,0,3,5.9,8.6,5.0,1257106.0,5347.7,1019.54,265.04,1155020.242,8.7008,No/Non-religious,Confident — I can understand it with some help,Yes,Yes,38.0,30-44,1_Low,2,Lives alone
