country,region,hazard_fuel_repair_cost,hazard_car_resale,hazard_tax_fines,hazard_zez_restriction,hazard_journey_complex,hazard_pollution_exposure,composite_score,composite_level,gender,education,activity_status,household_size,location,ethnic_minority,disability,lgbtiqa,political_group,english_proficiency,digital_confidence,citizenship,hh_lives_alone,hh_has_partner,hh_children_under_25,hh_children_25_plus,hh_parent_grandparent,hh_disabled_member,hh_other_relatives,hh_non_relatives,car_access,newest_car_fuel,planning_purchase,planned_car_type,ev_charging_better,aware_ev_programmes,ev_likelihood,transport_mode,need_car_for_job,travel_distance,travel_frequency,commute_1hr,public_transit_qual,use_more_if_lowemis,macro_modal_split_cars,macro_cant_afford_transport,macro_cars_per_1000,macro_alt_motor_energy,macro_cars_by_age,macro_new_cars_by_motor,macro_hh_expend_transport,macro_fuel_price,macro_road_transport_expend,religious_minority,is_native_born,speaks_national_language,newest_car_year_band,age,age_group,weekly_spend_band,income_band,household_type,ev_perception,num_cars
Italy,Calabria,15,8,12,20,16,6,12.833333333333334,3,Man,Further education or training after school (not university),"In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",5,Rural,No,No,No,No,Mother tongue / Very well,Very confident — I can do these tasks easily on my own,Citizen of this country,0,0,0,0,1,0,1,0,Yes,Diesel,I am considering to buy a new car in the next 2 -3 years,Diesel,"Yes, definitely",Yes,Somewhat likely,"Car (private, company, leased car or taxi, car share)",Sometimes,Less than 1 km,Never I mostly work from home,"No, I am working/studying full-time from home and do not commute",Poor,No difference,16.7,2.1,701,2590,41340516,1592098,14.7,1789.28,6199893248,No/Non-religious,Yes,Yes,2010-2019,29.0,18-29,1_Low,4,Multi-generational / extended,3,3
Italy,Lombardy,25,9,20,25,20,25,20.666666666666668,5,Woman,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",3,Urban,No,No,No,Prefer not to say,Well,Confident — I can do most tasks but sometimes need help,Citizen of this country,0,0,0,0,0,0,0,1,Yes,Other or unknown,I cannot afford a new car in the next 2-3 years,Not applicable,Not applicable,No,Somewhat likely,"Collective public transport (bus, tram, train, metro, ferry etc.)",Not applicable,Between 1 km and 5 km,Three or more days per week,Yes,Average,"Yes, definitely",16.7,2.1,701,2590,41340516,1592098,14.7,1789.28,6199893248,No/Non-religious,Yes,No,2020+,28.0,18-29,2_Medium,3,Other shared,3,1
Spain,Community of Madrid,16,16,16,25,20,9,17.0,4,Man,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",24000,Suburban,Yes,No,No,No,Well,Very confident — I can do these tasks easily on my own,Citizen of this country,0,1,0,0,0,0,0,0,Yes,Diesel,I cannot afford a new car in the next 2-3 years,Not applicable,Not applicable,Yes,Unlikely,"Car (private, company, leased car or taxi, car share)",Always,More than 15 km,Three or more days per week,No,Average,No difference,16.1,2.9,544,5,26700972,1067172,13.0,1528.212325,14672504154,No/Non-religious,Yes,Yes,pre-2010,25.0,18-29,3_High,3,"Couple, no children",3,1
Spain,Catalonia,16,16,16,20,25,9,17.0,5,Man,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",6,Urban,No,No,No,No,Well,Very confident — I can do these tasks easily on my own,Citizen of this country,0,0,1,0,0,0,0,0,Yes,Hybrid (fuel and electric),I am considering to buy a new car in the next 2 -3 years,Hybrid (fuel and electric),"Yes, definitely",Yes,Very likely,"Collective public transport (bus, tram, train, metro, ferry etc.)",Not applicable,Between 5km and 15 km,Three or more days per week,Yes,Good,No difference,16.1,2.9,544,5,26700972,1067172,13.0,1528.212325,14672504154,No/Non-religious,No,No,2020+,50.0,45-59,1_Low,3,Single parent,3,2
Spain,Community of Madrid,25,4,2,25,16,4,12.666666666666666,3,Man,"University degree or higher (e.g. Bachelor's, Master's, PhD)","Attending school, university, or other educational/training programmes",2,Urban,No,No,No,No,Mother tongue / Very well,Very confident — I can do these tasks easily on my own,Citizen of this country,0,1,0,0,0,0,0,0,Yes,Petrol,I am not considering to buy a new car in the next 2 -3 years,Not applicable,Not applicable,Yes,Somewhat likely,Walking,Not applicable,Between 1 km and 5 km,Three or more days per week,Yes,Very good,No difference,16.1,2.9,544,5,26700972,1067172,13.0,1528.212325,14672504154,No/Non-religious,Yes,No,2020+,25.0,18-29,1_Low,3,"Couple, no children",5,1
Spain,Catalonia,12,16,25,25,25,16,19.833333333333332,5,Woman,"University degree or higher (e.g. Bachelor's, Master's, PhD)","Attending school, university, or other educational/training programmes",3,Suburban,No,No,No,No,Well,Very confident — I can do these tasks easily on my own,Citizen of this country,0,0,0,0,1,0,0,0,No,Not applicable,I am considering to buy a new car in the next 2 -3 years,I don't know,Maybe,No,Likely,"Collective public transport (bus, tram, train, metro, ferry etc.)",Not applicable,More than 15 km,Three or more days per week,No,Very poor,No difference,16.1,2.9,544,5,26700972,1067172,13.0,1528.212325,14672504154,No/Non-religious,Yes,Yes,Not applicable,23.0,18-29,1_Low,3,Multi-generational / extended,4,0
Italy,Tuscany,16,9,12,16,12,16,13.5,3,Woman,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",4,Rural,No,No,No,No,Well,Very confident — I can do these tasks easily on my own,Citizen of this country,0,0,0,0,1,0,1,0,Yes,Other or unknown,I am not considering to buy a new car in the next 2 -3 years,Not applicable,Not applicable,Yes,Unlikely,"Car (private, company, leased car or taxi, car share)",Always,More than 15 km,Three or more days per week,No,Poor,No difference,16.7,2.1,701,2590,41340516,1592098,14.7,1789.28,6199893248,No/Non-religious,Yes,Yes,2020+,25.0,18-29,3_High,6,Multi-generational / extended,1,3
Spain,Valencian Community,15,12,25,25,25,1,17.166666666666668,5,Man,Further education or training after school (not university),Unemployed (actively seeking work or available to start work),3,Suburban,No,Yes,No,No,Mother tongue / Very well,Very confident — I can do these tasks easily on my own,Citizen of this country,0,0,0,0,1,0,0,0,Yes,Petrol,I am considering to buy a new car in the next 2 -3 years,Petrol,No difference,No,Unlikely,"Car (private, company, leased car or taxi, car share)",Always,More than 15 km,Three or more days per week,No,Very poor,No difference,16.1,2.9,544,5,26700972,1067172,13.0,1528.212325,14672504154,No/Non-religious,No,Yes,pre-2010,30.0,30-44,2_Medium,2,Multi-generational / extended,1,2
Spain,Community of Madrid,20,12,1,1,4,20,9.666666666666666,2,Man,Further education or training after school (not university),"Attending school, university, or other educational/training programmes",3,Urban,No,No,No,No,Well,Very confident — I can do these tasks easily on my own,Citizen of this country,0,0,0,0,1,0,0,0,Yes,Hybrid (fuel and electric),I am considering to buy a new car in the next 2 -3 years,Petrol,"Yes, definitely",Yes,Somewhat likely,"Collective public transport (bus, tram, train, metro, ferry etc.)",Not applicable,Between 1 km and 5 km,Three or more days per week,Yes,Average,"Yes, definitely",16.1,2.9,544,5,26700972,1067172,13.0,1528.212325,14672504154,No/Non-religious,Yes,Yes,2020+,19.0,18-29,2_Medium,4,Multi-generational / extended,3,2
Spain,Andalusia,25,25,20,15,20,16,20.166666666666668,5,Woman,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",2,Urban,No,No,No,No,Well,Very confident — I can do these tasks easily on my own,Citizen of this country,0,0,0,0,0,0,0,1,No,Not applicable,I am considering to buy a new car in the next 2 -3 years,Hybrid (fuel and electric),Maybe,Not sure,Likely,Walking,Not applicable,Between 1 km and 5 km,Three or more days per week,No,Average,No difference,16.1,2.9,544,5,26700972,1067172,13.0,1528.212325,14672504154,No/Non-religious,Yes,Yes,Not applicable,27.0,18-29,1_Low,3,Other shared,3,0
